,year,tas_5,tas_mean,tas_95
0,2015.0,1.004819770795513,1.094355371707038,1.191356909327664
1,2016.0,1.020225948862539,1.117928984178943,1.223910537512729
2,2017.0,1.037919257276923,1.14345095429993,1.257961741887633
3,2018.0,1.055630760218604,1.169831476767321,1.293765534093176
4,2019.0,1.072718511267478,1.194815689259759,1.333080908825384
5,2020.0,1.091036930738058,1.220170946525605,1.370755150499996
6,2021.0,1.10903394042536,1.246637159458847,1.406841456187012
7,2022.0,1.125932763916097,1.272722974614036,1.442604037282837
8,2023.0,1.143262484378585,1.298628834710558,1.473310668795081
9,2024.0,1.160836265680661,1.323940761743512,1.51401739433267
10,2025.0,1.178657790469369,1.349195875714134,1.549546990530077
11,2026.0,1.197034988864125,1.375721085836694,1.585632059465587
12,2027.0,1.215712848447609,1.403254349976567,1.62211737649294
13,2028.0,1.235792308145979,1.432134838609275,1.6550380449204
14,2029.0,1.255146496187015,1.460234515150054,1.692432561648252
15,2030.0,1.275278833145089,1.488259292215729,1.730267693907512
16,2031.0,1.295744599205414,1.51741063935421,1.768977615670483
17,2032.0,1.316980207957595,1.546276025285596,1.807687353641295
18,2033.0,1.336947039888533,1.574460239623207,1.847415638136963
19,2034.0,1.3594662297632,1.601990581839867,1.886146522038763
20,2035.0,1.381661204023772,1.629818762297442,1.924070301588838
21,2036.0,1.403978168746543,1.659600945116512,1.967068668973933
22,2037.0,1.426399278753085,1.690527409447634,2.006207026940428
23,2038.0,1.446730797623922,1.720359927597269,2.046633260431213
24,2039.0,1.470006730247978,1.74949416013746,2.086582468441344
25,2040.0,1.497057271705476,1.781320366347479,2.128589055286525
26,2041.0,1.522525370547796,1.815078355209781,2.166976675050206
27,2042.0,1.547611927652392,1.847174852153686,2.214677385919436
28,2043.0,1.57146940378506,1.876230381836789,2.256587779837925
29,2044.0,1.595442963947487,1.907567188666911,2.299763869887964
30,2045.0,1.619481419050125,1.940398883979673,2.3432549616771
31,2046.0,1.644293209809687,1.973963076678114,2.386487628777335
32,2047.0,1.669187416101723,2.006339542365465,2.429366418990997
33,2048.0,1.692866399262988,2.037212553348312,2.470722476315645
34,2049.0,1.717817481824106,2.066088304989041,2.513280735092999
35,2050.0,1.741237338665582,2.100658251917069,2.558017478858506
36,2051.0,1.766395100576653,2.133239501990834,2.599704479263395
37,2052.0,1.791891347211797,2.166502307686905,2.643467119515468
38,2053.0,1.818807570092849,2.200312819452086,2.687983500661307
39,2054.0,1.841548792347788,2.234904157895377,2.732865773670462
40,2055.0,1.864379410344561,2.26824955827806,2.781599759102049
41,2056.0,1.890380396065037,2.30038069973691,2.827362135357538
42,2057.0,1.917329206136522,2.333724096415747,2.872319337412776
43,2058.0,1.943529933304807,2.368426761430688,2.917282494966078
44,2059.0,1.96768445859155,2.403768093186974,2.963919836919363
45,2060.0,1.991583338776086,2.438560718585168,3.009826119615078
46,2061.0,2.017031072289246,2.473101372129817,3.05624038349743
47,2062.0,2.039082805036208,2.510043872449884,3.104100940557562
48,2063.0,2.065378282077321,2.546709029236752,3.15241865354326
49,2064.0,2.091989670442585,2.584087019872368,3.198879473247207
50,2065.0,2.117522441911708,2.621832669942718,3.24845854776435
51,2066.0,2.141511749361384,2.658745783921758,3.297572649774224
52,2067.0,2.167577405493132,2.695752566231816,3.346323494372681
53,2068.0,2.192251362475239,2.729997830654546,3.395707389345838
54,2069.0,2.220263205402388,2.764676094535205,3.444902872308395
55,2070.0,2.245425751454396,2.799205476473919,3.493878921453836
56,2071.0,2.272365181894036,2.837206249175318,3.543115348828445
57,2072.0,2.300354272016258,2.875600342069001,3.592440615436652
58,2073.0,2.327844686603809,2.912321572531544,3.642674969130392
59,2074.0,2.357693646417378,2.950057145634794,3.692318713872721
60,2075.0,2.387656518565173,2.987484986588048,3.743753445468802
61,2076.0,2.416924635885478,3.028042487300728,3.795487203750297
62,2077.0,2.441958591641912,3.065965236790399,3.847690731937435
63,2078.0,2.469616896904877,3.102424882917156,3.898899249722946
64,2079.0,2.499193851587828,3.140936603997937,3.950080480345767
65,2080.0,2.528447436634679,3.181039699382553,4.001346384847652
66,2081.0,2.555687922642162,3.218318401369723,4.053526173376081
67,2082.0,2.583027883172119,3.254365012125843,4.103912571386135
68,2083.0,2.6116027362843,3.293176549747868,4.157411058114665
69,2084.0,2.640273430007139,3.332336794073793,4.213172010643015
70,2085.0,2.66891921881024,3.371378585299003,4.268736129284125
71,2086.0,2.696717781777844,3.409118710015789,4.323224653291321
72,2087.0,2.727168131089374,3.448358067371647,4.377564293286152
73,2088.0,2.760144965854772,3.489697213715231,4.432394144437368
74,2089.0,2.789997851651318,3.529516524164657,4.484233766019299
75,2090.0,2.820434412846658,3.567628710869407,4.541136017031783
76,2091.0,2.847464528518826,3.606357659347934,4.595606189182653
77,2092.0,2.876382374570796,3.645376136567721,4.649576731316001
78,2093.0,2.904347472582606,3.684243772852491,4.704165499003323
79,2094.0,2.932247133822956,3.721228859283594,4.75839778691346
80,2095.0,2.959684718253254,3.758451683215963,4.812137963545464
81,2096.0,2.986875181628693,3.796472137029357,4.867172565307548
82,2097.0,3.014037051279763,3.835123649069157,4.922075236292883
83,2098.0,3.040392359924741,3.872383480378294,4.975588315713626
84,2099.0,3.066456893205954,3.908723065473456,5.027862931214472
