ISO3,geo_avg_sum_indicator,latest_year_with_data
AFG,0.21464307102467423,2017
AGO,0.0646286626639968,2019
ALB,0.38807223796810525,2021
ARE,1.0039436478162487,2022
ARG,0.10316823575931075,2021
ARM,0.6976046981050693,2021
AUS,1.6614425716180405,2021
AUT,0.7889660302686321,2021
AZE,0.13351954025673257,2021
BDI,0.18594886641747585,2013
BEL,2.6535377798172566,2021
BFA,0.17372382812968448,2021
BGD,0.025656121463003778,2016
BGR,1.4212510352189276,2021
BHR,0.0418496952615296,2020
BHS,2.002041394644077,2021
BLR,0.19778522033325524,2020
BOL,0.61945439802852,2007
BRA,0.9649996080312795,2020
BTN,0.06056594369175793,2020
BWA,0.6067160109415671,2021
CAN,1.415140626186125,2021
CHE,1.1296806541629087,2021
CHL,0.18732224330848166,2021
CHN,0.7268139653984149,2020
CIV,0.223473872,2014
COG,0.019634504298249776,2012
COL,1.0834670831213642,2020
CPV,2.286895732723235,2017
CRI,0.24816656005728058,2021
CYP,0.6039593336723024,2021
CZE,1.725549863645509,2021
DEU,1.1861315505122099,2021
DNK,0.7846915344751767,2021
DOM,0.102905016289537,2021
DZA,0.09643841679314137,2009
EGY,0.0942961853621332,2015
ESP,1.7781057822951305,2021
EST,1.3451077844955728,2021
ETH,0.037673013660626614,2020
FIN,0.41880467209430805,2021
FJI,0.1545805530696479,2006
FRA,1.9873504696019373,2021
FSM,0.6278250592927483,2020
GBR,1.3749117471610284,2021
GEO,1.1703380068510167,2021
GNQ,0.09692784555061268,2020
GRC,2.7808760313771574,2021
GTM,0.7038768530148155,2021
HKG,1.5808428755698933,2020
HND,0.209638172,2020
HRV,0.3023379154751929,2021
HUN,1.3865515045547807,2021
IDN,0.2622434421309919,2021
IRL,0.7664691999973303,2021
IRN,0.15062227327530675,2009
ISL,1.3526512212000779,2021
ISR,1.0990640718317537,2021
ITA,1.8254784960522275,2021
JAM,0.16390553006354422,2015
JOR,0.09329143678844452,2020
JPN,2.312163538473929,2021
KAZ,0.6554372704870604,2021
KEN,0.1827243669166573,2021
KGZ,0.261925340783199,2021
KHM,0.2530452470569744,2020
KIR,1.8216446287429642,2021
KOR,0.406135983,2010
KWT,0.03375553417007077,2006
LBN,0.04708818073885509,2020
LBR,0.03231561186367828,2013
LTU,1.033164081154299,2021
LUX,1.807184230862815,2021
LVA,1.1350383036306186,2021
MDA,0.18412238262967842,2021
MDG,0.461400581,2002
MDV,0.36508369678424635,2009
MHL,6.284867871207144,2019
MKD,1.769528080837531,2019
MLT,2.4817349111811806,2021
MMR,0.02820514060868204,2019
MNG,0.6481357444630587,2021
MUS,0.7452067693201206,2021
MYS,0.10641723910481694,2021
NAM,0.46567584055560934,2021
NIC,0.13745787698057443,2021
NLD,2.787661080929567,2021
NOR,1.889050826445327,2021
NPL,0.41966679532176077,2021
NRU,0.9284268688169762,2018
NZL,1.5580701876345777,2021
OMN,0.1225217808139821,2013
PAN,0.6241833060804816,2020
PHL,0.16108632906666714,2020
PLW,4.014203277047377,2019
PNG,0.36299381087243787,2020
POL,1.0009055324600002,2021
PRT,1.3288342316258315,2021
PSE,0.006818797947765523,2020
QAT,0.09498035707182774,2010
ROU,1.320086233988904,2021
RUS,0.32782590719129445,2020
SEN,0.746009885579873,2020
SGP,0.8301944041169875,2021
SLB,0.9657524869212825,2020
SLV,0.25938327309535675,2021
SMR,1.1816173332329771,2021
SOM,0.16705410033325077,2019
SRB,0.33620579977065346,2012
SVK,1.71045836768453,2021
SVN,1.1321706040281658,2021
SWE,1.0199554834146853,2021
SYC,2.5809637388399715,2018
THA,0.11606963851250454,2021
TLS,0.207993694,2012
TON,3.991911322,2020
TTO,1.3819878854236851,2018
TUN,0.35002148331039457,2012
TUR,0.6332586695307978,2021
TZA,0.008612830173849999,2018
UGA,0.28659716761685594,2021
UKR,0.45088156607061713,2021
URY,0.038475950935089466,2019
UZB,0.041616333395306127,2021
WSM,1.5663078094629104,2021
YEM,0.3296294783296408,2012
ZAF,0.5647924218022278,2021
ZMB,0.16232719391036785,2021
