,year,tas_mean,tas_median,tas_95,tas_5,co2_mean,co2_95,co2_5
152,1902.0,0.11361855873615784,0.1095548743807409,0.1510928409400055,0.07614427653231018,289.84223514615155,289.854736368729,289.8297339235741
153,1903.0,0.07485787693342202,0.07069472954370021,0.10633853143301955,0.043377222433824504,290.0808909230426,290.0938101070411,290.0679717390441
154,1904.0,-0.025516943357178773,-0.026169906192154885,0.022080297579295763,-0.07311418429365331,290.3387385298723,290.3511097499206,290.3263673098239
155,1905.0,-0.039461282784879134,-0.04110677875013861,-0.004025828629606827,-0.07489673694015145,290.59049732850826,290.60094779907024,290.5800468579463
156,1906.0,0.0031048869905895096,0.0015641379305183162,0.03425606305766426,-0.02804628907648524,290.86103736341846,290.87009865495185,290.8519760718851
157,1907.0,0.04515152537306256,0.04430041316379951,0.07862882164590446,0.011674229100220666,291.1527262102173,291.1621554276536,291.14329699278096
158,1908.0,0.045003299828320104,0.04324432086525687,0.07188136127809963,0.018125238378540572,291.47404382140957,291.4850103984303,291.46307724438884
159,1909.0,0.05901395033599938,0.05612116417862564,0.0889676701681559,0.029060230503842845,291.7749152145396,291.78685002901557,291.7629804000636
160,1910.0,0.07638979318548592,0.07222403082861792,0.1109578555456782,0.041821730825293627,292.0834839035757,292.0966685429633,292.0702992641881
161,1911.0,0.08509346886447751,0.07944209290195849,0.12085773509134254,0.04932920263761248,292.4023867746458,292.41723630246764,292.3875372468239
162,1912.0,0.09077315643605596,0.08468587465202196,0.12721072550492873,0.054335587367183184,292.695709225362,292.71216637578067,292.67925207494335
163,1913.0,0.010949941464769455,0.01145599668005445,0.04596717499013587,-0.024067292060596955,292.9871577215435,293.00516633100017,292.9691491120868
164,1914.0,-0.024216023831728578,-0.02645695178559149,0.0005633972337299141,-0.048995444897187074,293.27905965633687,293.2954842874524,293.26263502522136
165,1915.0,0.0007585434861946964,-0.0006992491963664221,0.023511136903735616,-0.021994049931346224,293.52769445398917,293.5424113251322,293.51297758284613
166,1916.0,0.04586231272281467,0.04351098695604759,0.07869819953237528,0.013026425913254057,293.7764579299579,293.79115406746837,293.7617617924475
167,1917.0,0.07951038932198916,0.07619717006879428,0.11920614024722467,0.039814638396753636,294.057425459642,294.07388819369686,294.0409627255871
168,1918.0,0.10101989168822412,0.09561725145923494,0.14472079715698571,0.05731898621946253,294.34940847787846,294.36835432356975,294.33046263218716
169,1919.0,0.1147780940606589,0.10806814296542068,0.1604674361335271,0.06908875198779071,294.6346753677869,294.656205124881,294.61314561069275
170,1920.0,0.1283572806407922,0.1213048475426575,0.17682033781126977,0.07989422347031461,294.8771684083357,294.90112558217703,294.8532112344944
171,1921.0,0.1329996207068347,0.12680811173096196,0.18161211856331766,0.08438712285035173,295.1746322394574,295.20120252337927,295.1480619555356
172,1922.0,0.1421916030085826,0.13523567045720813,0.19351592349541846,0.09086728252174676,295.43887638847093,295.46778143504895,295.4099713418929
173,1923.0,0.1305216870772672,0.12441586026619503,0.17847175210178745,0.08257162205274693,295.72086342621424,295.75231400338805,295.6894128490404
174,1924.0,0.12624149763357753,0.12272592604280233,0.173990248910972,0.07849274635618306,296.0455899872559,296.07884415311156,296.0123358214002
175,1925.0,0.13719761177603354,0.13258438725781477,0.18984824675529122,0.08454697679677586,296.36499765490674,296.4000837257875,296.329911584026
176,1926.0,0.15054323054050892,0.1443324437266009,0.20816022599139,0.09292623508962781,296.68575543232936,296.72343870422606,296.64807216043266
177,1927.0,0.16415484395731927,0.15661427776962475,0.22663117280364115,0.1016785151109974,296.999099189479,297.03991422265403,296.958284156304
178,1928.0,0.17282118563820628,0.16517342131773322,0.23850291828533154,0.107139452991081,297.36614606490053,297.4106254727832,297.3216666570179
179,1929.0,0.17302377694820306,0.16720519761077224,0.2396367127338252,0.10641084116258093,297.7233537928728,297.7716382802913,297.67506930545426
180,1930.0,0.14860706018325098,0.13937601754151063,0.21051698641193597,0.08669713395456599,298.11535002330226,298.16727825694596,298.06342178965855
181,1931.0,0.16063720325925038,0.15609368615002017,0.22786646620808962,0.09340794031041114,298.48717274453674,298.5414319135966,298.43291357547685
182,1932.0,0.17991882727188643,0.17364508420832261,0.2536078914780038,0.10622976306576909,298.81739856079975,298.8750933621902,298.75970375940926
183,1933.0,0.1728028564573541,0.16670839070770668,0.24470868624100295,0.10089702667370525,299.07719520926463,299.13896556801166,299.0154248505176
