,year,tas_5,tas_mean,tas_95
0,2015.0,1.010285967774758,1.099247547477238,1.196468787211483
1,2016.0,1.027753754711779,1.124936488752985,1.232380706085614
2,2017.0,1.045768498432458,1.151127280611031,1.267276552476122
3,2018.0,1.063368498105674,1.176866571917163,1.302330444132838
4,2019.0,1.081300896354874,1.20226640935634,1.340350750624485
5,2020.0,1.098654539785213,1.228768373007366,1.378903226607599
6,2021.0,1.114052096759987,1.254123596395378,1.414332500609374
7,2022.0,1.130232140427451,1.278778936706126,1.449860415203566
8,2023.0,1.146167254061598,1.301780680427943,1.484397475914503
9,2024.0,1.161122394217163,1.325222231966173,1.521392977191734
10,2025.0,1.175604574476995,1.350618531064992,1.552925162305321
11,2026.0,1.189768229429188,1.372619163208597,1.585592683944005
12,2027.0,1.204514327446887,1.395754585027414,1.614728988672812
13,2028.0,1.218856351014031,1.417280592175695,1.645861947083725
14,2029.0,1.232814777127772,1.439774723556736,1.678248808934593
15,2030.0,1.246874652623126,1.46075354622364,1.708361560103295
16,2031.0,1.259753185410536,1.480469949857439,1.737507884577618
17,2032.0,1.270556296118229,1.49920018798334,1.765484912339368
18,2033.0,1.281696377240185,1.517611006752081,1.792770565340573
19,2034.0,1.291473976248474,1.534261346711688,1.820492619007286
20,2035.0,1.299266307520687,1.549817927987848,1.843521653239898
21,2036.0,1.30763527108229,1.565240879938803,1.867629645131355
22,2037.0,1.315347228111829,1.57949181156022,1.893450366441964
23,2038.0,1.323293168817735,1.594629591979877,1.917318028763874
24,2039.0,1.331534995524952,1.609538328946998,1.940528662945321
25,2040.0,1.339642934842982,1.622439625103694,1.96203603985282
26,2041.0,1.346727777709477,1.635165952080778,1.983618275380664
27,2042.0,1.35433454408424,1.647946032549904,2.00687161709963
28,2043.0,1.359253626710285,1.660422853861697,2.029218992646163
29,2044.0,1.364642584769328,1.669689911267048,2.049021984932874
30,2045.0,1.370174478217329,1.679842347156302,2.067024313370522
31,2046.0,1.375088308876302,1.690823895480779,2.082946783003566
32,2047.0,1.378215358878151,1.700404272460811,2.112893037214537
33,2048.0,1.381058223241025,1.7080199392076,2.12809185683861
34,2049.0,1.384713231056415,1.716008714023579,2.142829160381956
35,2050.0,1.385745589833195,1.723816298541179,2.156089668421872
36,2051.0,1.387556832138353,1.73270215478958,2.169123281379658
37,2052.0,1.391785542769933,1.740365356126901,2.181836054725057
38,2053.0,1.394137456632984,1.747410789332575,2.193510972893864
39,2054.0,1.395253781119257,1.754036511707356,2.20480721623232
40,2055.0,1.397690538587464,1.760044208879562,2.215678753582742
41,2056.0,1.398037165187365,1.76564366530306,2.225334819749977
42,2057.0,1.398942501964867,1.770448395184294,2.233615484769374
43,2058.0,1.401268375470326,1.774362385331122,2.242317216702171
44,2059.0,1.402425400320959,1.778051518656833,2.250150495544756
45,2060.0,1.403041650386326,1.782696196832563,2.25724758856806
46,2061.0,1.405418734387228,1.785852729610676,2.263809255413188
47,2062.0,1.406355635398155,1.787993181462467,2.26979171290233
48,2063.0,1.408127055833249,1.791742063615704,2.274116523463665
49,2064.0,1.410168981864009,1.794761576753017,2.279494194574917
50,2065.0,1.411076301432368,1.797476504564222,2.285248935435455
51,2066.0,1.410641731865046,1.798835813291115,2.289981305811952
52,2067.0,1.410876824470013,1.798589210699402,2.293074105742043
53,2068.0,1.410725848341345,1.79904217260493,2.296298540896299
54,2069.0,1.409967255576727,1.801170644543945,2.299917709164867
55,2070.0,1.409463629662435,1.800509257194062,2.303786568050519
56,2071.0,1.40914493602842,1.800176143187666,2.307275670902396
57,2072.0,1.408099531978032,1.800643782234286,2.310121047838525
58,2073.0,1.406717030312515,1.799682314148123,2.313491727963914
59,2074.0,1.407026848722258,1.799241900677838,2.316333283422913
60,2075.0,1.406321877010434,1.798608142345801,2.319976901007807
61,2076.0,1.40704158033008,1.797969429189593,2.322319707635717
62,2077.0,1.406602207009572,1.796334255951723,2.323878021055125
63,2078.0,1.403537741154853,1.793544318509561,2.32498420208588
64,2079.0,1.40025922090045,1.792229004266146,2.326365614857457
65,2080.0,1.39835588150275,1.788891937784697,2.32612907181711
66,2081.0,1.393610725629031,1.786833310705518,2.327203686906247
67,2082.0,1.39190019218642,1.783811908684151,2.327554774386524
68,2083.0,1.388847843520239,1.780553456859309,2.328883639620316
69,2084.0,1.383839488382185,1.777842172579758,2.329567221292591
70,2085.0,1.381853770216953,1.774576942397309,2.330611199061314
71,2086.0,1.378968541637301,1.772189481602817,2.331366761842956
72,2087.0,1.374163060368179,1.769013637213726,2.332965732845827
73,2088.0,1.368898956217247,1.764498228313062,2.332888420531525
74,2089.0,1.364901994617994,1.760809845225841,2.332466457442671
75,2090.0,1.360256627395672,1.758729909026215,2.331471246822895
76,2091.0,1.356950756895669,1.754315959794124,2.332649129806417
77,2092.0,1.352560162192807,1.749871218244303,2.332515100366573
78,2093.0,1.348302326392931,1.746275025118732,2.332138775696601
79,2094.0,1.342932863215633,1.742477455193474,2.331450735368425
80,2095.0,1.338564519109234,1.73899400006742,2.330311127104653
81,2096.0,1.333901172743176,1.734824557628063,2.329500644865277
82,2097.0,1.328776290290255,1.731581063903972,2.328148477429111
83,2098.0,1.324557218774112,1.727422951833381,2.326610443974896
84,2099.0,1.319652130358085,1.723633029300621,2.324612979548522
